run,AE,mAP,AE_visible_only
real_dsd,19.440648535958104,0.37119629979133606,16.129135389474477
real_kpam,71.61581462339748,0.19590391218662262,56.54175495215738
large-run_ControlNetFromDepthRenderer_ccs=1.5,15.372555664708464,0.513564944267273,13.741707491964464
"large-run-2-stage_2stage:crop=Cropped:ControlNetFromDepthRenderer_ccs=1.5,margin=15,only_change_mask=False,inp=SD2InpaintingRenderer_strength=1,dilation=3",14.434120888670426,0.5356019139289856,11.76083730018982
model-comparison-1-stage_ControlNetFromDepthRenderer_ccs=1.5,16.240892220222232,0.49023011326789856,13.318857886214408
model-comparison-1-stage_ControlNetTXTFromDepthRenderer_ccs=1.5,16.93533891361662,0.462420254945755,14.997540741605162
model-comparison-1-stage_SD2FromDepthRenderer,16.61566187294635,0.47322237491607666,14.585007665053135
model-comparison-1-stage_SD2InpaintingRenderer,103.31209584254951,0.1847759336233139,92.53205441484722
model-comparison-1-stage_SD15RealisticCheckpointControlNetFromDepthRenderer_ccs=1.5,17.111326792061966,0.46379485726356506,13.578025872447881
model-comparison-1-stage_SD15RealisticCheckpointControlNetTXTFromDepthRenderer_ccs=1.5,15.350752391566303,0.5008427500724792,13.106432481379734
model-comparison-1-stage_SDXLControlNetTXTFromDepthRenderer_ccs=1.5,17.266032314668205,0.48905816674232483,14.362310236355535
ccs-comparison_ControlNetFromDepthRenderer_ccs=0.5,25.151933268437322,0.3842635154724121,21.432853218857456
ccs-comparison_ControlNetFromDepthRenderer_ccs=1.0,17.377783139688123,0.4765433073043823,14.055088959918502
ccs-comparison_ControlNetFromDepthRenderer_ccs=1.3,16.559522199461046,0.4726208448410034,13.672019564405351
ccs-comparison_ControlNetFromDepthRenderer_ccs=1.5,16.240892220222232,0.49023011326789856,13.318857886214408
ccs-comparison_ControlNetFromDepthRenderer_ccs=2.0,21.78904699275219,0.4607958495616913,17.888302381056842
ccs-comparison_ControlNetFromDepthRenderer_ccs=2.5,20.297530104257035,0.4573070704936981,17.935952570050247
ccs-comparison_ControlNetFromDepthRenderer_ccs=3.0,17.708305282435692,0.45266783237457275,16.105814589592494
"stage-2-comparison_2stage:crop=Cropped:ControlNetFromDepthRenderer_ccs=1.5,_margin=10,_only_change_mask=True,_inp=SD2InpaintingRenderer,_dilation=0",23.34647118281639,0.4328005611896515,21.43477211200032
"stage-2-comparison_2stage:crop=Cropped:ControlNetFromDepthRenderer_ccs=1.5,_margin=10,_only_change_mask=True,_inp=SD2InpaintingRenderer,_dilation=1",21.473329187146565,0.4305553436279297,19.547671937559375
"stage-2-comparison_2stage:crop=Cropped:ControlNetFromDepthRenderer_ccs=1.5,_margin=10,_only_change_mask=True,_inp=SD2InpaintingRenderer,_dilation=2",21.349577573411974,0.45695921778678894,19.94450853468962
"stage-2-comparison_2stage:crop=Cropped:ControlNetFromDepthRenderer_ccs=1.5,_margin=10,_only_change_mask=True,_inp=SD2InpaintingRenderer,_dilation=5",28.483777438052886,0.41507813334465027,24.474472595815524
"stage-2-comparison_2stage:crop=Cropped:ControlNetFromDepthRenderer_ccs=1.5,_margin=10,_only_change_mask=True,_inp=SD15InpaintingRenderer,_dilation=1",24.445483850697467,0.42847147583961487,24.070996764070618
"stage-2-comparison_2stage:crop=Cropped:ControlNetFromDepthRenderer_ccs=1.5,_margin=15,_only_change_mask=False,_inp=SD2InpaintingRenderer,_dilation=3",14.361082143630846,0.4898212254047394,11.991190856516319
