,index,meanAP,AKD,median_KD,seg_map,bbox_map,category,experiment
0,REAL_MUGS_RUN,0.4504939615726471,21.65186634253965,13.028271039326986,0.9738758503520176,0.956578424494102,mug,real
1,REAL_SHOES_RUN,0.5005291104316711,33.65083464253581,10.144249280293783,0.878361667241373,0.909027667065014,shoe,real
2,REAL_TSHIRTS_RUN,0.6769689917564392,25.589785511466204,4.182577192783356,0.8700127600779236,0.9019183214065356,tshirt,real
3,RANDOM_TEXTURES_MUGS_RUN,0.5128070712089539,18.348462686579452,9.98516050974528,0.9742217765928644,0.9909123891142432,mug,random
4,RANDOM_TEXTURES_SHOES_RUN,0.5885941386222839,13.42688459798215,7.414508978525798,0.940086847284354,0.9341583589107048,shoe,random
5,RANDOM_TEXTURES_TSHIRTS_RUN,0.5771121978759766,37.92783889780663,6.305798927942912,0.7496133109788443,0.767864335156309,tshirt,random
6,PROMPT_CLASSNAME_MUGS_RUN,0.4803648293018341,22.746600715966867,10.878650665283203,0.981876868453184,0.9758182806071662,mug,prompts-classname
7,PROMPT_CLASSNAME_SHOES_RUN,0.535736620426178,23.357620675302424,8.931761582692465,0.8965522491812612,0.8773852658119259,shoe,prompts-classname
8,PROMPT_CLASSNAME_TSHIRTS_RUN,0.4331309497356415,66.36193725667293,13.634571313858032,0.7703204575619523,0.8068794846844385,tshirt,prompts-classname
9,PROMPT_GEMINI_MUGS_RUN,0.4751174747943878,17.41399163817182,10.797769546508789,0.9906507217964295,0.9938614162764086,mug,prompts-gemini
10,PROMPT_GEMINI_SHOES_RUN,0.5470346808433533,19.576865291806683,8.780162493387857,0.9493223695471134,0.9523940709311406,shoe,prompts-gemini
11,PROMPT_GEMINI_TSHIRTS_RUN,0.5549566149711609,45.800699310705205,7.26696240901947,0.9341759752835996,0.941317663963287,tshirt,prompts-gemini
12,PROMPT_BLIP_MUGS_RUN,0.5225757956504822,16.320383741192217,9.808850288391113,0.9915151484017596,0.992681054285342,mug,prompts-blip
13,PROMPT_BLIP_SHOES_RUN,0.5204551815986633,25.179429993412953,9.333333333333334,0.9432545452097608,0.9371822965202528,shoe,prompts-blip
14,PROMPT_BLIP_TSHIRTS_RUN,0.5137262344360352,45.94283623287788,8.46604839960734,0.8955846923122912,0.925529060461753,tshirt,prompts-blip
15,TWO_STAGE_BASELINE_MUGS_RUN,0.4820623695850372,19.769333774208004,9.823259989420572,0.7543300641997288,0.7435243850840295,mug,two-stage
16,TWO_STAGE_BASELINE_SHOES_RUN,0.5717434287071228,21.719781216856916,8.28249740600586,0.6979327894345626,0.7111122398093228,shoe,two-stage
17,TWO_STAGE_BASELINE_TSHIRTS_RUN,0.511047899723053,49.30206465661564,7.760428071022034,0.6178898607849523,0.6719671100522221,tshirt,two-stage
18,NO_TABLE_ONE_STAGE_MUGS_RUN,0.5040954947471619,16.886171879931393,9.472014427185059,0.9866274106902612,0.9855227031915786,mug,one-stage-no-table
19,NO_TABLE_ONE_STAGE_SHOES_RUN,0.5546733736991882,20.252852238425913,8.805516560872396,0.9482752821205768,0.9504727920150112,shoe,one-stage-no-table
20,NO_TABLE_ONE_STAGE_TSHIRTS_RUN,0.6297934651374817,29.74255352271864,5.459555208683014,0.9047750149690634,0.930765073596978,tshirt,one-stage-no-table
21,RANDOM_TEXTURES_NO_TABLE_MUGS_RUN,0.4947879016399383,16.235748872571296,10.169005076090494,0.931770077534498,0.9704472389684572,mug,random-no-table
22,RANDOM_TEXTURES_NO_TABLE_SHOES_RUN,0.6190323829650879,13.586960425408577,7.694254239400228,0.9126072323164868,0.938887021033929,shoe,random-no-table
23,RANDOM_TEXTURES_NO_TABLE_TSHIRTS_RUN,0.5318665504455566,43.86839714101157,7.869159450133641,0.6301585337649904,0.6581474933661526,tshirt,random-no-table
24,THREE_STAGE_MUGS_RUN,0.46504369378089905,20.890932860537472,10.446997006734213,0.957854701148746,0.9459647434136113,mug,three-stage
25,THREE_STAGE_SHOES_RUN,0.5235782861709595,19.27796823162573,8.386462370554606,0.9122061398478156,0.9267003939368116,shoe,three-stage
26,THREE_STAGE_TSHIRTS_RUN,0.5887185335159302,38.25130368608207,6.431676626205444,0.7142932034470939,0.7733943137841447,tshirt,three-stage
27,DUAL_INPAINTING_MUGS_RUN,0.4107221364974976,26.280227151238567,12.125705401102701,0.30070265199426766,0.2714298564080999,mug,dual-inpainting
28,DUAL_INPAINTING_TSHIRTS_RUN,0.3069228231906891,95.21829845944349,45.20615816116333,0.425873617445143,0.4698339680741237,tshirt,dual-inpainting
29,DUAL_INPAINTING_SHOES_RUN,0.3630320727825165,48.022113533379105,13.227487564086914,0.42169183352575146,0.4554940351316484,shoe,dual-inpainting
30,IMG2IMG_MUGS_RUN,0.10229957103729248,79.07906639832488,57.84664662679037,0.044820620338895195,0.04009582904193954,mug,img2img
31,IMG2IMG_SHOES_RUN,0.15739130973815918,116.68787162855746,81.05540974934895,0.018591453448705976,0.024272439070090048,shoe,img2img
32,IMG2IMG_TSHIRTS_RUN,0.07593631744384766,200.2617589262194,200.10868771870932,0.035841339872557276,0.045250546497836726,tshirt,img2img
33,CCS_O5_MUGS_RUN,0.3838605582714081,26.509968378718195,12.333443323771158,,,mug,unknown
34,CCS_O5_SHOES_RUN,0.39234399795532227,43.1094578537566,11.824861844380697,,,shoe,unknown
35,CCS_O5_TSHIRTS_RUN,0.3436908423900604,55.43415200201806,16.243143777052563,,,tshirt,unknown
36,CCS_10_MUGS_RUN,0.4811664819717407,20.802400674348995,10.454488118489584,,,mug,unknown
37,CCS_10_SHOES_RUN,0.5599201321601868,18.81436018954348,8.405591328938803,,,shoe,unknown
38,CCS_10_TSHIRTS_RUN,0.6292556524276733,26.944953663958756,5.401773393154144,,,tshirt,unknown
39,CCS_15_MUGS_RUN,0.45155826210975647,17.854911767519436,10.58463191986084,,,mug,unknown
40,CCS_15_SHOES_RUN,0.540010929107666,19.909872113078137,8.993810653686523,,,shoe,unknown
41,CCS_15_TSHIRTS_RUN,0.5211760401725769,45.39817811895522,7.66904882589976,,,tshirt,unknown
42,CCS_20_MUGS_RUN,0.4925204515457154,21.480140671091544,10.895103136698404,,,mug,unknown
43,CCS_20_SHOES_RUN,0.5501561760902405,16.46677827386233,8.265328566233316,,,shoe,unknown
44,CCS_20_TSHIRTS_RUN,0.516723096370697,48.97869671392123,7.844605088233948,,,tshirt,unknown
45,CCS_25_MUGS_RUN,0.4691936671733856,18.56636650621155,10.188306172688803,,,mug,unknown
46,CCS_25_SHOES_RUN,0.5343159437179565,23.28547027282981,9.82519563039144,,,shoe,unknown
47,CCS_25_TSHIRTS_RUN,0.44582441449165344,67.15593128707512,11.533403992652893,,,tshirt,unknown
48,SCALE_DIFFUSION_MUGS_1K_RUN,0.4170078933238983,18.467871131493947,11.374862988789877,0.9877583323501457,0.9936431975878904,mug,scale
49,SCALE_DIFFUSION_SHOES_1K_RUN,0.5141035318374634,22.5749417514324,9.886617024739584,0.9375072970434148,0.935046360569716,shoe,scale
50,SCALE_DIFFUSION_TSHIRTS_1K_RUN,0.49366822838783264,56.78501402114827,8.805961688359579,0.8459262621233006,0.8626444354688999,tshirt,scale
51,SCALE_DIFFUSION_MUGS_2K_RUN,0.41568800806999207,24.794008874825266,12.136466344197592,0.9758137902575365,0.9755965716461892,mug,scale
52,SCALE_DIFFUSION_SHOES_2K_RUN,0.5605669021606445,25.953122127623786,8.79512357711792,0.9644418437462352,0.961274464780454,shoe,scale
53,SCALE_DIFFUSION_TSHIRTS_2K_RUN,0.5206061601638794,47.78064699533249,7.455872178077698,0.8956962888735056,0.8952186511302415,tshirt,scale
54,SCALE_DIFFUSION_MUGS_5K_RUN,0.4927178621292114,15.520960387794153,10.018852233886719,0.9922376299499084,0.994001712982079,mug,scale
55,SCALE_DIFFUSION_SHOES_5K_RUN,0.5567523837089539,17.534250828118815,7.883111794789632,0.9576231824751226,0.9606942421371611,shoe,scale
56,SCALE_DIFFUSION_TSHIRTS_5K_RUN,0.5465696454048157,47.40062193407085,7.142279545466105,0.8654809673953963,0.8905122024665839,tshirt,scale
57,SCALE_DIFFUSION_MUGS_10K_RUN,0.5349089503288269,15.129895427967407,9.487380663553873,0.9903466653237508,0.9940334964907712,mug,scale
58,SCALE_DIFFUSION_SHOES_10K_RUN,0.5563601851463318,19.642020744738787,8.438805421193441,0.9487196053277828,0.924203833683782,shoe,scale
59,SCALE_DIFFUSION_TSHIRTS_10K_RUN,0.5858510136604309,37.257599602223166,6.30904499689738,0.8877441512031385,0.9158229490630232,tshirt,scale
60,SCALE_RANDOM_MUGS_1K_RUN,0.44431400299072266,20.55317177811013,11.089432716369629,0.9557382568722008,0.9801094480381292,mug,scale
61,SCALE_RANDOM_SHOES_1K_RUN,0.5749760866165161,18.391276680221853,8.943998018900553,0.8705107501478606,0.9069608234605658,shoe,scale
62,SCALE_RANDOM_TSHIRTS_1K_RUN,0.5375809669494629,44.205141958856416,7.302742461363475,0.51115974535615,0.5275938408546462,tshirt,scale
63,SCALE_RANDOM_MUGS_2K_RUN,0.48699793219566345,17.976954738299053,10.1075226465861,0.9597847451737604,0.9701151004865072,mug,scale
64,SCALE_RANDOM_SHOES_2K_RUN,0.600931704044342,13.074400803311455,8.126646995544434,0.8253558361075315,0.8495656842991541,shoe,scale
65,SCALE_RANDOM_TSHIRTS_2K_RUN,0.5033437609672546,55.50146429645739,8.476076871156693,0.6971778258914252,0.7159838936886763,tshirt,scale
66,SCALE_RANDOM_MUGS_5K_RUN,0.5044427514076233,17.483045845403065,10.862309137980143,0.9709809472340456,0.9822184963295724,mug,scale
67,SCALE_RANDOM_SHOES_5K_RUN,0.593353271484375,16.13333906102946,8.069734891255697,0.9102097989393004,0.9086130532543656,shoe,scale
68,SCALE_RANDOM_TSHIRTS_5K_RUN,0.5830757021903992,39.59781909154643,5.890889922777812,0.725079287807237,0.7556174542311964,tshirt,scale
